,Abortion,Budget & Economy,Civil Rights
0,Codify state with federal law to allow 9th-month abortions. (May 2014),2015 Opportunity Agenda: cut $1.7B taxes; add $1.5B programs. (Jan 2015),Implement a default voter registration system. (Jan 2016)
1,"Let women make decision: pregnancy, adoption, or abortion. (Jan 2013)",Economic Blueprint: growth via development projects. (Jan 2012),Pay equity for women; stop pregnancy discrimination. (Jan 2015)
